Disease
hypertensive disease
diabetes
depression mental
coronary arteriosclerosis
pneumonia
failure heart congestive
accident cerebrovascular
asthma
myocardial infarction
hypercholesterolemia
infection
infection urinary tract
anemia
chronic obstructive airway disease
dementia
insufficiency renal
confusion
degenerative polyarthritis
hypothyroidism
anxiety state
malignant neoplasms
acquired immuno-deficiency syndrome
cellulitis
gastroesophageal reflux disease
septicemia
deep vein thrombosis
dehydration
neoplasm
embolism pulmonary
epilepsy
cardiomyopathy
chronic kidney failure
carcinoma
hepatitis C
peripheral vascular disease
psychotic disorder
hyperlipidemia
bipolar disorder
obesity
ischemia
cirrhosis
exanthema
benign prostatic hypertrophy
kidney failure acute
mitral valve insufficiency
arthritis
bronchitis
hemiparesis
osteoporosis
transient ischemic attack
adenocarcinoma
paranoia
pancreatitis
incontinence
paroxysmal dyspnea
hernia
malignant neoplasm of prostate
edema pulmonary
lymphatic diseases
stenosis aortic valve
malignant neoplasm of breast
schizophrenia
diverticulitis
overload fluid
ulcer peptic
osteomyelitis
gastritis
bacteremia
failure kidney
sickle cell anemia
failure heart
upper respiratory infection
hepatitis
hypertension pulmonary
deglutition disorder
gout
thrombocytopaenia
hypoglycemia
pneumonia aspiration
colitis
diverticulosis
suicide attempt
Pneumocystis carinii pneumonia
hepatitis B
parkinson disease
lymphoma
hyperglycemia
encephalopathy
tricuspid valve insufficiency
Alzheimer's disease
candidiasis
neuropathy
kidney disease
fibroid tumor
glaucoma
neoplasm metastasis
malignant tumor of colon
ketoacidosis diabetic
tonic-clonic epilepsy
malignant neoplasms
respiratory failure
melanoma
gastroenteritis
malignant neoplasm of lung
manic disorder
personality disorder
primary carcinoma of the liver cells
emphysema pulmonary
hemorrhoids
spasm bronchial
aphasia
obesity morbid
pyelonephritis
endocarditis
effusion pericardial
chronic alcoholic intoxication
pneumothorax
delirium
neutropenia
hyperbilirubinemia
influenza
dependence
thrombus
cholecystitis
hernia hiatal
migraine disorders
pancytopenia
cholelithiasis
tachycardia sinus
ileus
adhesion
delusion
affect labile
decubitus ulcer
